,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME_x,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_NAME_y,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
5,2019/2020,604015,David Thompson Secondary,6,Rocky Mountain,Public,1535 14th St Unit 1 RR 4,Invermere,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.5022144,-116.0411422,David Thompson,Public,2019,Invermere,70,0.7,8.8,0.0,67.2,10.5,100.0,16.8,5.9
80,2019/2020,3434022,Abbotsford Senior Secondary School,34,Abbotsford,Public,33355 Bevan  Ave,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04359461,-122.3001517,Abbotsford,Public,2019,Abbotsford,272,4.1,12.2,0.0,64.9,13.5,95.1,13.3,5.4
110,2019/2020,3434061,Abbotsford Traditional Senior Secondary,34,Abbotsford,Public,2272 Windsor St,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04356239,-122.3540793,Abbotsford,Public,2019,Abbotsford,272,4.1,12.2,0.0,64.9,13.5,95.1,13.3,5.4
152,2019/2020,3535019,Langley Secondary,35,Langley,Public,21405 56 Ave,Langley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.10523838,-122.6308214,Langley,Public,2019,Langley,250,4.6,15.4,0.0,62.8,19.8,96.6,20.2,2.8
182,2019/2020,3535056,Langley Fundamental Middle/Secondary Sch,35,Langley,Public,21250 42 Ave,Langley,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.0779818,-122.6348359,Langley,Public,2019,Langley,250,4.6,15.4,0.0,62.8,19.8,96.6,20.2,2.8
188,2019/2020,3535064,Langley Equestrian Academy,35,Langley,Public,20902 37A Ave,Langley,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.06985045,-122.6443605,Langley,Public,2019,Langley,250,4.6,15.4,0.0,62.8,19.8,96.6,20.2,2.8
581,2019/2020,3636246,Princess Margaret Secondary,36,Surrey,Public,12870 72 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.13179769,-122.8657613,Princess Margaret,Public,2019,Surrey,278,17.9,10.4,0.0,65.5,10.9,91.9,18.0,4.2
678,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Delta,Public,2019,Delta,245,1.1,21.3,0.3,66.1,7.6,97.6,7.7,6.3
685,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,Delta,Public,2019,Delta,245,1.1,21.3,0.3,66.1,7.6,97.6,7.7,6.3
706,2019/2020,3737037,South Delta Secondary,37,Delta,Public,750 53 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.01669018,-123.0758668,Delta,Public,2019,Delta,245,1.1,21.3,0.3,66.1,7.6,97.6,7.7,6.3
1068,2019/2020,3939018,David Thompson Secondary,39,Vancouver,Public,1755 55th Ave E,Vancouver,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.2208643,-123.0705555,David Thompson,Public,2019,Vancouver,270,8.4,8.8,0.0,70.0,5.6,96.4,12.6,7.1
1161,2019/2020,3996002,St George's School,39,Vancouver,Independent,4175 W 29th Ave,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.24732858,-123.1992373,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1162,2019/2020,3996002,St George's School,39,Vancouver,Independent,4175 W 29th Ave,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.24732858,-123.1992373,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1163,2019/2020,3996002,St George's School,39,Vancouver,Independent,4175 W 29th Ave,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.24732858,-123.1992373,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
