,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME_x,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_NAME_y,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL,SCHOOL_NAME_y
0,2019/2020,502001,Mount Baker Secondary,5,Southeast Kootenay,Public,1410 Baker St,Cranbrook,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.51267668,-115.7608426,Mount Baker,Public,2015,Cranbrook,Gr 12 enrolment: 257,0.4,14.4,6.2,66.9,8.9,99.2,8.2,6.8,Mount Baker
1,2019/2020,502001,Mount Baker Secondary,5,Southeast Kootenay,Public,1410 Baker St,Cranbrook,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.51267668,-115.7608426,Mount Baker,Public,2016,Cranbrook,Gr 12 enrolment: 257,0.4,14.4,6.2,66.4,10.6,96.8,16.9,6.1,Mount Baker
2,2019/2020,502001,Mount Baker Secondary,5,Southeast Kootenay,Public,1410 Baker St,Cranbrook,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.51267668,-115.7608426,Mount Baker,Public,2017,Cranbrook,Gr 12 enrolment: 257,0.4,14.4,6.2,66.2,9.6,99.2,5.1,6.6,Mount Baker
3,2019/2020,502001,Mount Baker Secondary,5,Southeast Kootenay,Public,1410 Baker St,Cranbrook,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.51267668,-115.7608426,Mount Baker,Public,2018,Cranbrook,Gr 12 enrolment: 257,0.4,14.4,6.2,68.0,8.7,97.8,9.7,6.7,Mount Baker
4,2019/2020,502001,Mount Baker Secondary,5,Southeast Kootenay,Public,1410 Baker St,Cranbrook,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.51267668,-115.7608426,Mount Baker,Public,2019,Cranbrook,Gr 12 enrolment: 257,0.4,14.4,6.2,66.4,8.8,99.6,7.3,6.7,Mount Baker
5,2019/2020,505033,Elkford Elementary Secondary,5,Southeast Kootenay,Public,PO Box 910,Elkford,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.00683982,-114.9306477,Elkford,Public,2015,Elkford,Gr 12 enrolment: 40,2.0,16.5,0.0,,,,,,Elkford
6,2019/2020,505033,Elkford Elementary Secondary,5,Southeast Kootenay,Public,PO Box 910,Elkford,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.00683982,-114.9306477,Elkford,Public,2016,Elkford,Gr 12 enrolment: 40,2.0,16.5,0.0,67.5,8.5,95.2,15.9,6.0,Elkford
7,2019/2020,505033,Elkford Elementary Secondary,5,Southeast Kootenay,Public,PO Box 910,Elkford,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.00683982,-114.9306477,Elkford,Public,2017,Elkford,Gr 12 enrolment: 40,2.0,16.5,0.0,,,,,,Elkford
8,2019/2020,505033,Elkford Elementary Secondary,5,Southeast Kootenay,Public,PO Box 910,Elkford,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.00683982,-114.9306477,Elkford,Public,2018,Elkford,Gr 12 enrolment: 40,2.0,16.5,0.0,,,,,,Elkford
9,2019/2020,505033,Elkford Elementary Secondary,5,Southeast Kootenay,Public,PO Box 910,Elkford,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.00683982,-114.9306477,Elkford,Public,2019,Elkford,Gr 12 enrolment: 40,2.0,16.5,0.0,63.9,6.5,94.6,10.2,4.6,Elkford
10,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,Fernie,Public,2015,Fernie,Gr 12 enrolment: 61,2.7,10.2,28.5,66.5,9.0,98.1,20.0,6.2,Fernie
11,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,Fernie,Public,2016,Fernie,Gr 12 enrolment: 61,2.7,10.2,28.5,67.6,8.9,100.0,20.7,5.8,Fernie
12,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,Fernie,Public,2017,Fernie,Gr 12 enrolment: 61,2.7,10.2,28.5,67.3,3.4,96.5,13.5,6.9,Fernie
13,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,Fernie,Public,2018,Fernie,Gr 12 enrolment: 61,2.7,10.2,28.5,70.9,4.4,100.0,11.6,7.8,Fernie
14,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,Fernie,Public,2019,Fernie,Gr 12 enrolment: 61,2.7,10.2,28.5,67.9,4.7,100.0,5.9,5.2,Fernie
15,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,Sparwood,Public,2015,Sparwood,Gr 12 enrolment: 40,0.8,17.2,0.0,61.6,16.8,97.0,10.3,4.7,Sparwood
16,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,Sparwood,Public,2016,Sparwood,Gr 12 enrolment: 40,0.8,17.2,0.0,66.0,9.1,97.4,0.7,6.7,Sparwood
17,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,Sparwood,Public,2017,Sparwood,Gr 12 enrolment: 40,0.8,17.2,0.0,57.0,29.7,100.0,4.7,2.1,Sparwood
18,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,Sparwood,Public,2018,Sparwood,Gr 12 enrolment: 40,0.8,17.2,0.0,,,,,,Sparwood
19,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,Sparwood,Public,2019,Sparwood,Gr 12 enrolment: 40,0.8,17.2,0.0,65.2,6.4,95.0,11.3,4.9,Sparwood
20,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,Selkirk,Public,2015,Kimberley,Gr 12 enrolment: 68,0.0,10.1,0.0,72.0,4.2,98.6,6.5,7.2,Selkirk
21,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,Selkirk,Public,2016,Kimberley,Gr 12 enrolment: 68,0.0,10.1,0.0,70.5,7.7,96.5,5.3,6.8,Selkirk
22,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,Selkirk,Public,2017,Kimberley,Gr 12 enrolment: 68,0.0,10.1,0.0,66.3,10.3,96.4,7.2,5.5,Selkirk
23,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,Selkirk,Public,2018,Kimberley,Gr 12 enrolment: 68,0.0,10.1,0.0,70.9,7.0,98.7,4.7,6.2,Selkirk
24,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,Selkirk,Public,2019,Kimberley,Gr 12 enrolment: 68,0.0,10.1,0.0,68.3,7.4,98.4,10.7,6.3,Selkirk
