SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2019/2020,501007,Jaffray Elem-Jr Secondary,005,Southeast Kootenay,Public School,PO Box 378,Jaffray                       ,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.37241741,-115.3007698
2019/2020,501009,Isabella Dicken Elementary,005,Southeast Kootenay,Public School,PO Box 1559,Fernie                        ,Standard School                         ,ELEMENTARY,YES,YES,YES,NO,49.51045198,-115.0550843
2019/2020,501010,Frank J Mitchell Elementary,005,Southeast Kootenay,Public School,PO Box 345,Sparwood                      ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.7361573,-114.8928227
2019/2020,501017,Rocky Mountain Elementary,005,Southeast Kootenay,Public School,PO Box 460,Elkford                       ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.00768512,-114.9334624
2019/2020,502001,Mount Baker Secondary,005,Southeast Kootenay,Public School,1410 Baker St,Cranbrook                     ,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.51267668,-115.7608426
2019/2020,502011,Laurie Middle School,005,Southeast Kootenay,Public School,1808 2nd St S,Cranbrook                     ,Standard School                         ,MIDDLE SCHOOL,YES,NO,NO,NO,49.50894361,-115.75566
2019/2020,502023,Amy Woodland Elementary,005,Southeast Kootenay,Public School,911 6th St S,Cranbrook                     ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.5025578,-115.7677916
2019/2020,502024,T M Roberts Elementary,005,Southeast Kootenay,Public School,10 Wattsville Rd,Cranbrook                     ,Standard School                         ,ELEMENTARY,YES,YES,NO,NO,49.50399783,-115.778848
2019/2020,502028,Gordon Terrace Elementary,005,Southeast Kootenay,Public School,1200 5th Ave S,Cranbrook                     ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.4965489,-115.7732592
2019/2020,502029,Highlands Elementary,005,Southeast Kootenay,Public School,3300 7th St S,Cranbrook                     ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.50272353,-115.7351243
2019/2020,502030,Pinewood Elementary,005,Southeast Kootenay,Public School,40 Pinewood Ave W,Cranbrook                     ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.51411158,-115.774822
2019/2020,502031,Steeples Elementary,005,Southeast Kootenay,Public School,700 24th Ave N,Cranbrook                     ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.5181,-115.747
2019/2020,502032,Kootenay Orchards Elementary,005,Southeast Kootenay,Public School,1301 - 20th Ave S,Cranbrook                     ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.4957315,-115.7555554
2019/2020,505000,Kootenay Learning Campus (KLC),005,Southeast Kootenay,Public School,802 2nd Ave,Fernie                        ,Continuing Education                    ,SECONDARY,NO,NO,NO,NO,49.513593,-115.0531442
2019/2020,505018,Parkland Middle School,005,Southeast Kootenay,Public School,1115 2nd Ave S,Cranbrook                     ,Standard School                         ,MIDDLE SCHOOL,YES,YES,NO,NO,49.49647204,-115.7797287
2019/2020,505033,Elkford Elementary Secondary,005,Southeast Kootenay,Public School,PO Box 910,Elkford                       ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.00683982,-114.9306477
2019/2020,505034,Fernie Secondary,005,Southeast Kootenay,Public School,PO Box 370,Fernie                        ,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442
2019/2020,505035,Sparwood Secondary,005,Southeast Kootenay,Public School,PO Box 67,Sparwood                      ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519
