SCHOOL_NAME,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
Alpha,Public,2015,Burnaby,Gr 12 enrolment: 252,4.7,10.7,12.5,68.3,11.5,94.8,15,5.5
Alpha,Public,2016,Burnaby,Gr 12 enrolment: 252,4.7,10.7,12.5,67.6,11.7,91.4,13.6,5.3
Alpha,Public,2017,Burnaby,Gr 12 enrolment: 252,4.7,10.7,12.5,65.1,16.2,87.7,17.7,3.6
Alpha,Public,2018,Burnaby,Gr 12 enrolment: 252,4.7,10.7,12.5,68.7,10,95.6,10.2,5.4
Alpha,Public,2019,Burnaby,Gr 12 enrolment: 252,4.7,10.7,12.5,68.6,13.4,97.2,6.7,5.2
Burnaby Central,Public,2015,Burnaby,Gr 12 enrolment: 318,3.7,8.1,0.0,68.4,12.2,96.3,14.2,5.5
Burnaby Central,Public,2016,Burnaby,Gr 12 enrolment: 318,3.7,8.1,0.0,69.4,11.2,91.2,13.6,5.8
Burnaby Central,Public,2017,Burnaby,Gr 12 enrolment: 318,3.7,8.1,0.0,65.4,15.1,86.9,18.5,4.7
Burnaby Central,Public,2018,Burnaby,Gr 12 enrolment: 318,3.7,8.1,0.0,69.9,8.7,94,11.7,6.4
Burnaby Central,Public,2019,Burnaby,Gr 12 enrolment: 318,3.7,8.1,0.0,70.5,7.4,97.2,9.7,6.5
Burnaby Mountain,Public,2015,Burnaby,Gr 12 enrolment: 341,2.6,11.2,0.0,70.7,9.7,96.3,11.9,6
Burnaby Mountain,Public,2016,Burnaby,Gr 12 enrolment: 341,2.6,11.2,0.0,71.3,8.8,91.3,15.9,5.5
Burnaby Mountain,Public,2017,Burnaby,Gr 12 enrolment: 341,2.6,11.2,0.0,70.8,6.8,92.3,16.9,6.8
Burnaby Mountain,Public,2018,Burnaby,Gr 12 enrolment: 341,2.6,11.2,0.0,72.4,8.4,91.5,15.6,5.8
Burnaby Mountain,Public,2019,Burnaby,Gr 12 enrolment: 341,2.6,11.2,0.0,71.1,8.2,98.6,10.5,6.4
Burnaby North,Public,2015,Burnaby,Gr 12 enrolment: 378,5.8,7.5,0.4,70.4,11.2,95.6,10.6,5.9
Burnaby North,Public,2016,Burnaby,Gr 12 enrolment: 378,5.8,7.5,0.4,71.2,10.2,94,9.9,6.1
Burnaby North,Public,2017,Burnaby,Gr 12 enrolment: 378,5.8,7.5,0.4,65.2,17.9,90.7,15.2,3.9
Burnaby North,Public,2018,Burnaby,Gr 12 enrolment: 378,5.8,7.5,0.4,69.4,11.7,92,12.6,5
Burnaby North,Public,2019,Burnaby,Gr 12 enrolment: 378,5.8,7.5,0.4,68.7,10.1,96.6,17.2,5.1
Burnaby South,Public,2015,Burnaby,Gr 12 enrolment: 362,9.7,8.7,0.1,67.7,13.6,94.8,18.3,5.2
Burnaby South,Public,2016,Burnaby,Gr 12 enrolment: 362,9.7,8.7,0.1,67.7,12,84.8,22.8,4.5
Burnaby South,Public,2017,Burnaby,Gr 12 enrolment: 362,9.7,8.7,0.1,64.5,15.2,88.8,15.5,4.4
Burnaby South,Public,2018,Burnaby,Gr 12 enrolment: 362,9.7,8.7,0.1,65.2,15.8,90.5,13.8,4.3
Burnaby South,Public,2019,Burnaby,Gr 12 enrolment: 362,9.7,8.7,0.1,68.9,9,95.1,15.4,5.5
Byrne Creek,Public,2015,Burnaby,Gr 12 enrolment: 268,11.8,11.4,0.3,63.4,19.6,90,25,3.4
Byrne Creek,Public,2016,Burnaby,Gr 12 enrolment: 268,11.8,11.4,0.3,61.8,21.4,84.3,26,2.6
Byrne Creek,Public,2017,Burnaby,Gr 12 enrolment: 268,11.8,11.4,0.3,62.1,18.3,84.1,33.8,2.9
Byrne Creek,Public,2018,Burnaby,Gr 12 enrolment: 268,11.8,11.4,0.3,64.4,15.8,93.1,26.2,4.1
Byrne Creek,Public,2019,Burnaby,Gr 12 enrolment: 268,11.8,11.4,0.3,64.5,15.5,93.5,29.4,3.4
