SCHOOL_YEAR,DISTRICT_NUMBER,DISTRICT_NAME,BOARDOFFICE_PHYSICAL_ADDRESS,DISTRICT_CITY,DISTRICT_PROVINCE,DISTRICT_POSTAL_CODE,DISTRICT_PHONE_NUMBER,DISTRICT_WEBSITE,X,Y
2018/19,5,Southeast Kootenay,940 Industrial Rd  #1,Cranbrook,BC,V1C4C6,250 426-4201,http://www.sd5.bc.ca                                                                                ,-115.7608032,49.5226133
2018/19,6,Rocky Mountain,620 - 4th St,Invermere,BC,V0A1K0,250 342-9243,http://www.sd6.bc.ca                                                                                ,-116.0278169,50.5107574
2018/19,8,Kootenay Lake,570 Johnstone Rd,Nelson,BC,V1L6J2,250 352-6681,http://www.sd8.bc.ca                                                                                ,-117.2897037,49.51097505
2018/19,10,Arrow Lakes,98 Sixth Ave NW,Nakusp,BC,V0G1R0,250 265-3638,http://sd10.bc.ca                                                                                   ,-117.8054872,50.2401509
2018/19,19,Revelstoke,501 11th St,Revelstoke,BC,V0E2S0,250 837-2101,http://www.sd19.bc.ca                                                                               ,-118.1992192,50.98961564
2018/19,20,Kootenay-Columbia,2001 Third Ave,Trail,BC,V1R1R6,250 368-6434,http://www.sd20.bc.ca                                                                               ,-117.6936988,49.09749644
2018/19,22,Vernon,1401 Fifteenth St,Vernon,BC,V1T8S8,250 542-3331,http://www.sd22.bc.ca                                                                               ,-119.2499542,50.25217477
2018/19,23,Central Okanagan,1040 Hollywood Rd S,Kelowna,BC,V1X4N2,250 860-8888,http://www.sd23.bc.ca                                                                               ,-119.399225,49.87663283
2018/19,27,Cariboo-Chilcotin,350 Second Ave N,Williams Lake,BC,V2G1Z9,250 398-3800,http://www.sd27.bc.ca                                                                               ,-122.146,52.134
2018/19,28,Quesnel,401 North Star Rd,Quesnel,BC,V2J5K2,250 992-8802,http://www.sd28.bc.ca                                                                               ,-122.466948,52.98131582
2018/19,33,Chilliwack,8430 Cessna Dr,Chilliwack,BC,V2P7K4,604 792-1321,http://www.sd33.bc.ca                                                                               ,-121.9454115,49.1556137
2018/19,34,Abbotsford,2790 Tims St,Abbotsford,BC,V2T4M7,604 859-4891,http://www.sd34.bc.ca                                                                               ,-122.3316427,49.052677
2018/19,35,Langley,4875 222nd St,Langley,BC,V3A3Z7,604 534-7891,http://www.sd35.bc.ca                                                                               ,-122.608775,49.0909895
2018/19,36,Surrey,14033 92nd Ave,Surrey,BC,V3V0B7,604 596-7733,http://www.surreyschools.ca                                                                         ,-122.8323789,49.1702678
2018/19,37,Delta,4585 Harvest Dr,Delta,BC,V4K5B4,604 946-4101,http://www.deltasd.bc.ca                                                                            ,-123.0645526,49.0860948
2018/19,38,Richmond,7811 Granville Ave,Richmond,BC,V6Y3E3,604 668-6000,http://www.sd38.bc.ca                                                                               ,-123.1395169,49.1630636
2018/19,39,Vancouver,1580 West Broadway,Vancouver,BC,V6J5K8,604 713-5000,http://www.vsb.bc.ca                                                                                ,-123.1402601,49.2633059
2018/19,40,New Westminster,811 Ontario St,New Westminster,BC,V3M1C4,604 517-6240,https://newwestschools.ca/                                                                          ,-122.9158454,49.20395816
2018/19,41,Burnaby,5325 Kincaid St,Burnaby,BC,V5G1W2,604 296-6900,http://burnabyschools.ca/                                                                           ,-122.9869878,49.2488564
2018/19,42,Maple Ridge-Pitt Meadows,22225 Brown Ave,Maple Ridge,BC,V2X8N6,604 463-4200,http://www.sd42.ca                                                                                  ,-122.605599,49.22217271
2018/19,43,Coquitlam,550 Poirier St,Coquitlam,BC,V3J6A7,604 939-9201,http://www.sd43.bc.ca                                                                               ,-122.8471631,49.25202042
2018/19,44,North Vancouver,2121 Lonsdale Ave,North Vancouver,BC,V7M2K6,604 903-3444,http://www.sd44.ca                                                                                  ,-123.0726542,49.329083
2018/19,45,West Vancouver,1075 21st St,West Vancouver,BC,V7V4A9,604 981-1000,http://westvancouverschools.ca/                                                                     ,-123.1684742,49.33419694
