,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME_x,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_NAME_y,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
0,2019/2020,502001,Mount Baker Secondary,5,Southeast Kootenay,Public,1410 Baker St,Cranbrook,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.51267668,-115.7608426,Mount Baker,Public,2019,Cranbrook,257,0.4,14.4,6.2,66.4,8.8,99.6,7.3,6.7
1,2019/2020,505033,Elkford Elementary Secondary,5,Southeast Kootenay,Public,PO Box 910,Elkford,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.00683982,-114.9306477,Elkford,Public,2019,Elkford,40,2.0,16.5,0.0,63.9,6.5,94.6,10.2,4.6
2,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,Fernie,Public,2019,Fernie,61,2.7,10.2,28.5,67.9,4.7,100.0,5.9,5.2
3,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,Sparwood,Public,2019,Sparwood,40,0.8,17.2,0.0,65.2,6.4,95.0,11.3,4.9
4,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,Selkirk,Public,2019,Kimberley,68,0.0,10.1,0.0,68.3,7.4,98.4,10.7,6.3
5,2019/2020,604015,David Thompson Secondary,6,Rocky Mountain,Public,1535 14th St Unit 1 RR 4,Invermere,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.5022144,-116.0411422,David Thompson,Public,2019,Invermere,70,0.7,8.8,0.0,67.2,10.5,100.0,16.8,5.9
6,2019/2020,618005,Golden Secondary,6,Rocky Mountain,Public,PO Box 1350,Golden,Standard School                         ,SECONDARY,YES,YES,NO,NO,51.2965518,-116.9496193,Golden,Public,2019,Golden,51,0.0,12.9,21.3,69.0,4.4,97.8,19.5,5.7
8,2019/2020,807013,L V Rogers Secondary,8,Kootenay Lake,Public,1002 Cottonwood St,Nelson,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.50153609,-117.2723473,L V Rogers,Public,2019,Nelson,156,0.1,9.9,16.3,69.3,7.0,94.2,13.0,6.3
10,2019/2020,807025,Mount Sentinel Secondary,8,Kootenay Lake,Public,PO Box 99,South Slocan,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.4463804,-117.5373076,Mount Sentinel,Public,2019,South Slocan,41,0.0,9.3,0.0,64.8,8.6,100.0,11.7,4.2
11,2019/2020,886007,Prince Charles Secondary,8,Kootenay Lake,Public,223 18th Ave S,Creston,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.09443987,-116.5051821,Prince Charles,Public,2019,Creston,96,0.4,12.9,0.0,68.4,4.5,97.7,2.5,6.6
12,2019/2020,1919003,Revelstoke Secondary,19,Revelstoke,Public,Bag 5100,Revelstoke,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.9910745,-118.1988367,Revelstoke,Public,2019,Revelstoke,88,0.8,20.3,0.0,72.4,0.0,100.0,14.3,7.7
13,2019/2020,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia,Public,720 7 Ave,Castlegar,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008,Stanley Humphries,Public,2019,Castlegar,110,0.0,14.3,19.0,67.6,8.4,100.0,0.2,5.4
14,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,J Lloyd Crowe,Public,2019,Trail,172,0.0,10.2,5.5,72.2,0.7,98.8,3.3,8.0
19,2019/2020,2222007,W L Seaton Secondary,22,Vernon,Public,2701 41 Ave,Vernon,Standard School                         ,SECONDARY,YES,YES,NO,NO,50.2729109,-119.2679834,W L Seaton,Public,2019,Vernon,165,0.8,9.2,45.8,71.9,4.6,98.6,20.5,6.8
22,2019/2020,2222017,Vernon Secondary,22,Vernon,Public,2100-15th St,Vernon,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.25761457,-119.2525325,Vernon,Public,2019,Vernon,194,0.5,8.4,0.0,69.1,6.1,95.0,11.2,5.9
25,2019/2020,2222022,Kalamalka Secondary,22,Vernon,Public,7900 McClounie Rd,Vernon,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.22296705,-119.2488864,Kalamalka,Public,2019,Vernon,112,0.0,9.8,0.0,70.2,2.7,100.0,17.7,6.9
28,2019/2020,2222025,Clarence Fulton Secondary,22,Vernon,Public,2301 Fulton Rd,Vernon,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.2493786,-119.3092733,Clarence Fulton,Public,2019,Vernon,137,0.0,11.9,0.0,66.2,6.4,97.2,14.0,6.2
32,2019/2020,2222027,Charles Bloom Elementary Secondary,22,Vernon,Public,PO Box 220,Lumby,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.24996886,-118.9641854,Charles Bloom,Public,2019,Lumby,56,0.0,12.2,0.0,67.7,10.2,100.0,15.2,5.6
35,2019/2020,2323044,Rutland Senior Secondary,23,Central Okanagan,Public,705 Rutland Rd N,Kelowna,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.8969396,-119.3837848,Rutland,Public,2019,Kelowna,390,2.6,12.7,0.1,66.3,9.0,97.4,6.8,6.1
37,2019/2020,2323059,Okanagan Mission Secondary,23,Central Okanagan,Public,4544 Gordon Dr,Kelowna,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.8185945,-119.4851097,Okanagan Mission,Public,2019,Kelowna,253,0.8,10.0,0.1,74.2,2.6,99.1,2.8,7.5
39,2019/2020,2323076,Kelowna Secondary,23,Central Okanagan,Public,1079 Raymer Ave,Kelowna,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.8640577,-119.4783557,Kelowna,Public,2019,Kelowna,551,1.3,8.3,21.3,69.5,4.2,98.9,0.8,7.0
51,2019/2020,2323051,Mount Boucherie Senior Secondary,23,Central Okanagan,Public,2751 Cameron Rd,West Kelowna,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.8582874,-119.5844001,Mount Boucherie,Public,2019,West Kelowna,416,0.5,12.5,0.0,67.9,8.5,98.2,3.7,6.8
52,2019/2020,2323080,George Elliot Secondary,23,Central Okanagan,Public,10241 Bottom Wood Lake Rd,Winfield,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.03038078,-119.400767,George Elliot,Public,2019,Winfield,161,0.3,13.1,0.0,71.7,4.5,98.6,3.0,7.1
54,2019/2020,2396013,Immaculata Regional High School,23,Central Okanagan,Independent,1493 K.L.O. Rd,Kelowna,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.86037865,-119.4656809,Immaculata,Independent,2019,Kelowna,45,0.4,6.3,0.8,74.4,2.6,97.7,0.0,7.9
65,2019/2020,2396825,Aberdeen Hall Senior,23,Central Okanagan,Independent,890 Academy Way,Kelowna,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.9345587,-119.4026296,Aberdeen Hall,Independent,2019,Kelowna,44,0.0,9.7,0.0,74.7,2.4,100.0,3.5,7.9
67,2019/2020,2727056,Peter Skene Ogden Secondary,27,Cariboo-Chilcotin,Public,PO Box 910,100 Mile House,Standard School                         ,SECONDARY,YES,YES,NO,NO,51.637295,-121.3017027,Peter Skene Ogden,Public,2019,100 Mile House,127,2.9,12.7,8.4,66.0,8.5,96.9,31.5,4.9
68,2019/2020,2727072,Lake City Secondary,27,Cariboo-Chilcotin,Public,640 Carson Drive,Williams Lake,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,NO,NO,52.13645719,-122.1407661,Lake City,Public,2019,Williams Lake,212,5.8,9.8,3.8,69.2,7.2,90.7,23.2,5.8
70,2019/2020,2828034,Correlieu Secondary School,28,Quesnel,Public,850 Anderson Dr,Quesnel,Standard School                         ,SECONDARY,YES,YES,NO,NO,52.96707585,-122.5165789,Correlieu,Public,2019,Quesnel,223,0.0,14.3,3.2,65.0,10.4,97.1,24.8,5.5
71,2019/2020,3333012,Chilliwack Secondary,33,Chilliwack,Public,46363 Yale Rd,Chilliwack,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.17662007,-121.942509,Chilliwack,Public,2019,Chilliwack,391,2.0,15.8,0.0,67.1,9.1,93.7,28.8,5.0
76,2019/2020,3333018,Sardis Secondary,33,Chilliwack,Public,45460 Stevenson Rd,Chilliwack,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.12166539,-121.9675885,Sardis,Public,2019,Chilliwack,410,1.1,12.4,16.9,68.6,7.1,99.2,4.2,6.8
78,2019/2020,3333044,GW Graham Secondary,33,Chilliwack,Public,45955 Thomas Rd,Chilliwack,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.10743438,-121.9529557,GW Graham,Public,2019,Chilliwack,228,0.7,13.1,0.0,70.2,5.0,94.8,9.3,6.0
80,2019/2020,3434022,Abbotsford Senior Secondary School,34,Abbotsford,Public,33355 Bevan  Ave,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04359461,-122.3001517,Abbotsford,Public,2019,Abbotsford,272,4.1,12.2,0.0,64.9,13.5,95.1,13.3,5.4
91,2019/2020,3434038,Yale Secondary,34,Abbotsford,Public,34620 Old Yale Rd,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.0479384,-122.264393,Yale,Public,2019,Abbotsford,325,0.9,11.1,0.0,70.9,7.2,98.0,0.0,6.8
96,2019/2020,3434041,W J Mouat Secondary,34,Abbotsford,Public,32355 Mouat Dr,Abbotsford,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.05942223,-122.3278132,W J Mouat,Public,2019,Abbotsford,379,4.6,10.7,26.1,66.3,12.2,96.3,11.7,4.9
100,2019/2020,3434052,Rick Hansen Secondary,34,Abbotsford,Public,31150 Blueridge Dr,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.06704839,-122.3617768,Rick Hansen,Public,2019,Abbotsford,163,8.7,11.5,0.0,65.8,5.8,98.6,11.7,5.8
107,2019/2020,3434054,Robert Bateman Secondary,34,Abbotsford,Public,35045 Exbury Ave,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.06925753,-122.2543205,Robert Bateman,Public,2019,Abbotsford,269,0.3,14.6,0.0,70.6,4.4,98.6,13.1,7.3
110,2019/2020,3434061,Abbotsford Traditional Senior Secondary,34,Abbotsford,Public,2272 Windsor St,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04356239,-122.3540793,Abbotsford,Public,2019,Abbotsford,272,4.1,12.2,0.0,64.9,13.5,95.1,13.3,5.4
