,Unnamed: 0,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL,type_Public,combined_25_5,combined_50_10,combined_5_1,combined_10_2,combined_<5_1,prop_high_speed,CENSUS_ID,MEDIAN_INCOME,LOG_MEDIAN_INCOME
0,4,2019/2020,502001,Mount Baker Secondary,5,Southeast Kootenay,Public,1410 Baker St,Cranbrook,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.51267668,-115.7608426,2019,Cranbrook,Gr 12 enrolment: 257,0.4,14.4,6.2,66.4,8.8,99.6,7.3,6.7,1,0.03887337057728119,0.7094972067039106,0.13012104283054005,0.014664804469273743,0.09217877094972067,0.7483705772811918,5901022,67942,11.126409679020474
1,9,2019/2020,505033,Elkford Elementary Secondary,5,Southeast Kootenay,Public,PO Box 910,Elkford,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.00683982,-114.9306477,2019,Elkford,Gr 12 enrolment: 40,2.0,16.5,0.0,63.9,6.5,94.6,10.2,4.6,1,0.0625,0.9232954545454546,0.005681818181818182,0.0,0.0,0.9857954545454546,5901003,110379,11.611675177340205
2,14,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,2019,Fernie,Gr 12 enrolment: 61,2.7,10.2,28.5,67.9,4.7,100.0,5.9,5.2,1,0.20122815304676428,0.6957959376476146,0.08691544638639584,0.0,0.0023618327822390174,0.8970240906943789,5901012,90112,11.408808620077659
3,19,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,2019,Sparwood,Gr 12 enrolment: 40,0.8,17.2,0.0,65.2,6.4,95.0,11.3,4.9,1,0.125948406676783,0.795144157814871,0.004552352048558422,0.0,0.0,0.921092564491654,5901006,103538,11.547693974063035
4,24,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,2019,Kimberley,Gr 12 enrolment: 68,0.0,10.1,0.0,68.3,7.4,98.4,10.7,6.3,1,0.14838709677419354,0.6189753320683112,0.13434535104364326,0.0,0.03263757115749526,0.7673624288425047,5901028,67072,11.11352194824066
5,29,2019/2020,604015,David Thompson Secondary,6,Rocky Mountain,Public,1535 14th St Unit 1 RR 4,Invermere,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.5022144,-116.0411422,2019,Invermere,Gr 12 enrolment: 70,0.7,8.8,0.0,67.2,10.5,100.0,16.8,5.9,1,0.08456414711844773,0.7778743121922965,0.06834636547929338,0.0,0.038227628149435276,0.8624384593107443,5901039,74606,11.21997621191204
6,34,2019/2020,618005,Golden Secondary,6,Rocky Mountain,Public,PO Box 1350,Golden,Standard School                         ,SECONDARY,YES,YES,NO,NO,51.2965518,-116.9496193,2019,Golden,Gr 12 enrolment: 51,0.0,12.9,21.3,69.0,4.4,97.8,19.5,5.7,1,0.1218405703175632,0.5469863901490603,0.32598833441348024,0.0,0.0,0.6688269604666235,5939007,74325,11.216202647866298
7,39,2019/2020,807013,L V Rogers Secondary,8,Kootenay Lake,Public,1002 Cottonwood St,Nelson,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.50153609,-117.2723473,2019,Nelson,Gr 12 enrolment: 156,0.1,9.9,16.3,69.3,7.0,94.2,13.0,6.3,1,0.03336653386454183,0.7537350597609562,0.03610557768924303,0.12425298804780877,0.04282868525896414,0.787101593625498,5903015,56714,10.94577637281795
8,44,2019/2020,807025,Mount Sentinel Secondary,8,Kootenay Lake,Public,PO Box 99,South Slocan,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.4463804,-117.5373076,2019,South Slocan,Gr 12 enrolment: 41,0.0,9.3,0.0,64.8,8.6,100.0,11.7,4.2,1,0.020289855072463767,0.6036231884057971,0.04057971014492753,0.3115942028985507,0.0014492753623188406,0.6239130434782608,5903052,44105,10.694328433692867
9,49,2019/2020,886007,Prince Charles Secondary,8,Kootenay Lake,Public,223 18th Ave S,Creston,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.09443987,-116.5051821,2019,Creston,Gr 12 enrolment: 96,0.4,12.9,0.0,68.4,4.5,97.7,2.5,6.6,1,0.18640093786635403,0.5877295818679171,0.004689331770222743,0.2063305978898007,0.0,0.7741305197342712,5903004,46421,10.745507222034997
