,SCHOOL_NUMBER,SCHOOL_YEAR,DATA_LEVEL,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NAME,FACILITY_TYPE,SUBJECT_CATEGORY,EXAM_SUBJECT,COURSE_CODE,GRADE,SUB_POPULATION,REQUIRED_OR_OPTIONAL,MARK_TYPE,NUMBER_OF_MARKS,AVERAGE_PERCENT,SUM_OF_MARKS,NUMBER_OF_C_MINUS_OR_BETTER,PERCENT_OF_C_MINUS_OR_BETTER,NUMBER_OF_A,PERCENT_OF_A,NUMBER_OF_B,PERCENT_OF_B,NUMBER_OF_C_PLUS,PERCENT_OF_C_PLUS,NUMBER_OF_C,PERCENT_OF_C,NUMBER_OF_C_MINUS,PERCENT_OF_C_MINUS,NUMBER_OF_F,PERCENT_OF_F,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,type_BC Public School,geometry,combined_25_5,combined_50_10,combined_5_1,combined_10_2,combined_<5_1,prop_high_speed,CENSUS_ID,MEDIAN_INCOME,LOG_MEDIAN_INCOME
0,502001.0,2018/2019,School Level,5.0,Southeast Kootenay,Mount Baker Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,197,69.8,13750,194,98,Msk,Msk,68,35,51,26,46,23,20,10,Msk,Msk,49.51267668,-115.7608426,1,POINT (-115.7608426 49.51267668),0.038649592549476135,0.7096623981373691,0.13015133876600699,0.014668218859138533,0.09220023282887078,0.7483119906868452,5901022,67942,11.126409679020474
1,505033.0,2018/2019,School Level,5.0,Southeast Kootenay,Elkford Elementary Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,31,63.9,1982,29,94,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,50.00683982,-114.9306477,1,POINT (-114.9306477 50.00683982),0.0625,0.9232954545454546,0.005681818181818182,0.0,0.0,0.9857954545454546,5901003,110379,11.611675177340205
2,505034.0,2018/2019,School Level,5.0,Southeast Kootenay,Fernie Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,43,67.9,2921,41,95,Msk,Msk,Msk,Msk,11,26,Msk,Msk,Msk,Msk,Msk,Msk,49.513593,-115.0531442,1,POINT (-115.0531442 49.513593),0.030710172744721688,0.9673704414587332,0.0,0.0,0.0,0.9980806142034548,5901012,90112,11.408808620077659
3,505035.0,2018/2019,School Level,5.0,Southeast Kootenay,Sparwood Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,35,64.9,2271,32,91,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,49.7357264,-114.8915519,1,POINT (-114.8915519 49.7357264),0.125948406676783,0.795144157814871,0.004552352048558422,0.0,0.0,0.921092564491654,5901006,103538,11.547693974063035
4,596715.0,2018/2019,School Level,,The Fernie Academy Society (IATHNBR:509),The Fernie Academy,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,17,77.5,1317,17,100,Msk,Msk,10,59,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,49.50282966,-115.0621569,0,POINT (-115.0621569 49.50282966),0.2557560672059739,0.6029869321717486,0.12009956440572496,0.0,0.0031113876789047915,0.8587429993777225,5901012,90112,11.408808620077659
5,603008.0,2018/2019,School Level,6.0,Rocky Mountain,Selkirk Secondary School,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,55,69.8,3837,53,96,Msk,Msk,21,38,15,27,12,22,Msk,Msk,Msk,Msk,49.68724493,-115.9798422,1,POINT (-115.9798422 49.68724493),0.14838709677419354,0.6189753320683112,0.13434535104364326,0.0,0.03263757115749526,0.7673624288425047,5901028,67072,11.11352194824066
6,604015.0,2018/2019,School Level,6.0,Rocky Mountain,David Thompson Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,60,70.3,4217,58,97,Msk,Msk,Msk,Msk,19,32,Msk,Msk,Msk,Msk,Msk,Msk,50.5022144,-116.0411422,1,POINT (-116.0411422 50.5022144),0.08456414711844773,0.7778743121922965,0.06834636547929338,0.0,0.038227628149435276,0.8624384593107443,5901039,74606,11.21997621191204
7,618005.0,2018/2019,School Level,6.0,Rocky Mountain,Golden Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,45,69,3103,43,96,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,51.2965518,-116.9496193,1,POINT (-116.9496193 51.2965518),0.1218405703175632,0.5469863901490603,0.32598833441348024,0.0,0.0,0.6688269604666235,5939007,74325,11.216202647866298
8,807013.0,2018/2019,School Level,8.0,Kootenay Lake,L V Rogers Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,106,73.8,7823,106,100,Msk,Msk,40,38,Msk,Msk,25,24,Msk,Msk,Msk,Msk,49.50153609,-117.2723473,1,POINT (-117.2723473 49.50153609),0.0346433770014556,0.8413391557496361,0.04104803493449782,0.07278020378457059,0.0017467248908296944,0.8759825327510917,5903015,56714,10.94577637281795
9,807025.0,2018/2019,School Level,8.0,Kootenay Lake,Mount Sentinel Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,37,65.1,2410,34,92,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,49.4463804,-117.5373076,1,POINT (-117.5373076 49.4463804),0.010009686793671296,0.7952857604133032,0.02001937358734259,0.15950920245398773,0.0029060381013884403,0.8052954472069745,5903052,44105,10.694328433692867
10,886007.0,2018/2019,School Level,8.0,Kootenay Lake,Prince Charles Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,76,69.3,5270,72,95,Msk,Msk,27,36,Msk,Msk,16,21,Msk,Msk,Msk,Msk,49.09443987,-116.5051821,1,POINT (-116.5051821 49.09443987),0.18640093786635403,0.5877295818679171,0.004689331770222743,0.2063305978898007,0.0,0.7741305197342712,5903004,46421,10.745507222034997
11,886018.0,2018/2019,School Level,8.0,Kootenay Lake,J V Humphries Elem-Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,20,66.7,1333,17,85,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,49.91218,-116.91124,1,POINT (-116.91124 49.91218),0.1445578231292517,0.413265306122449,0.007369614512471655,0.2811791383219955,0.10090702947845805,0.5578231292517006,5903023,44096,10.694124354373331
12,1010006.0,2018/2019,School Level,10.0,Arrow Lakes,Nakusp Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,21,71.7,1505,21,100,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,50.24427173,-117.8050931,1,POINT (-117.8050931 50.24427173),0.11683848797250859,0.4012027491408935,0.12628865979381443,0.10481099656357389,0.17611683848797252,0.5180412371134021,5903050,50970,10.838992503334087
13,1919003.0,2018/2019,School Level,19.0,Revelstoke,Revelstoke Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,65,72.5,4712,65,100,Msk,Msk,29,45,14,22,12,18,Msk,Msk,Msk,Msk,50.9910745,-118.1988367,1,POINT (-118.1988367 50.9910745),0.14840425531914894,0.7101063829787234,0.01702127659574468,0.02127659574468085,0.0026595744680851063,0.8585106382978723,5939019,74659,11.220686358325834
14,2011012.0,2018/2019,School Level,20.0,Kootenay-Columbia,J Lloyd Crowe Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,152,72.2,10967,151,99,Msk,Msk,Msk,Msk,48,32,Msk,Msk,16,11,Msk,Msk,49.10215924,-117.6980923,1,POINT (-117.6980923 49.10215924),0.06320224719101124,0.8380818619582665,0.006019261637239166,0.05758426966292135,0.003812199036918138,0.9012841091492777,5905014,55424,10.922767991922107
15,2222007.0,2018/2019,School Level,22.0,Vernon,W L Seaton Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,136,73.4,9983,133,98,Msk,Msk,50,37,36,26,19,14,Msk,Msk,Msk,Msk,50.2729109,-119.2679834,1,POINT (-119.2679834 50.2729109),0.0013605442176870747,0.998639455782313,0.0,0.0,0.0,1.0,5937014,59353,10.991257946359317
16,2222017.0,2018/2019,School Level,22.0,Vernon,Vernon Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,151,71.4,10786,146,97,Msk,Msk,45,30,32,21,29,19,17,11,Msk,Msk,50.25761457,-119.2525325,1,POINT (-119.2525325 50.25761457),0.008051529790660225,0.9919484702093397,0.0,0.0,0.0,1.0,5937014,59353,10.991257946359317
17,2222022.0,2018/2019,School Level,22.0,Vernon,Kalamalka Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,97,71.2,6902,95,98,Msk,Msk,Msk,Msk,17,18,Msk,Msk,11,11,Msk,Msk,50.22296705,-119.2488864,1,POINT (-119.2488864 50.22296705),0.04021937842778794,0.9414990859232175,0.018281535648994516,0.0,0.0,0.9817184643510054,5937010,95921,11.471280215001514
18,2222025.0,2018/2019,School Level,22.0,Vernon,Clarence Fulton Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,83,69.1,5735,81,98,Msk,Msk,25,30,19,23,16,19,15,18,Msk,Msk,50.2493786,-119.3092733,1,POINT (-119.3092733 50.2493786),0.0936055469953775,0.8447611710323575,0.01694915254237288,0.001926040061633282,0.0,0.938366718027735,5937014,59353,10.991257946359317
19,2222027.0,2018/2019,School Level,22.0,Vernon,Charles Bloom Elementary Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,47,68.3,3208,43,91,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,50.24996886,-118.9641854,1,POINT (-118.9641854 50.24996886),0.33614088820826954,0.40505359877488517,0.036753445635528334,0.0015313935681470138,0.0,0.7411944869831547,5937005,58453,10.975978291502674
20,2296261.0,2018/2019,School Level,,VERNON CHRISTIAN SCHOOL SOCIETY (IATHNBR:173),Vernon Christian School,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,18,68.6,1235,18,100,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,50.31014521,-119.2463799,0,POINT (-119.2463799 50.31014521),0.035942492012779555,0.9472843450479234,0.001597444089456869,0.004792332268370607,0.005591054313099041,0.9832268370607029,5937017,69632,11.15097951077556
21,2323005.0,2018/2019,School Level,23.0,Central Okanagan,Central School Programs,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,18,52.3,942,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,49.88120693,-119.4878129,1,POINT (-119.4878129 49.88120693),0.01355487538259729,0.9803235679930039,0.003935286401399213,0.0021862702229995625,0.0,0.9938784433756012,5935010,68627,11.136441322285153
22,2323044.0,2018/2019,School Level,23.0,Central Okanagan,Rutland Senior Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,278,68.5,19055,268,96,14,5,86,31,68,24,56,20,44,16,10,4,49.8969396,-119.3837848,1,POINT (-119.3837848 49.8969396),0.04388229220443986,0.9070727929788333,0.027878162106350027,0.0010325245224574084,0.005678884873515746,0.9509550851832731,5935010,68627,11.136441322285153
23,2323051.0,2018/2019,School Level,23.0,Central Okanagan,Mount Boucherie Senior Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,352,70.1,24664,337,96,Msk,Msk,106,30,93,26,72,20,32,9,Msk,Msk,49.8582874,-119.5844001,1,POINT (-119.5844001 49.8582874),0.007638585770405936,0.990615451767787,0.0006547359231776517,0.00043649061545176777,0.0,0.9982540375381929,5935029,83942,11.337881363146503
24,2323076.0,2018/2019,School Level,23.0,Central Okanagan,Kelowna Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,488,70.4,34348,472,97,Msk,Msk,162,33,119,24,100,20,52,11,Msk,Msk,49.8640577,-119.4783557,1,POINT (-119.4783557 49.8640577),0.002061855670103093,0.9979381443298969,0.0,0.0,0.0,1.0,5935010,68627,11.136441322285153
25,2323080.0,2018/2019,School Level,23.0,Central Okanagan,George Elliot Secondary,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,136,72.6,9870,131,96,Msk,Msk,40,29,27,20,29,21,Msk,Msk,Msk,Msk,50.03038078,-119.400767,1,POINT (-119.400767 50.03038078),0.02839396628216504,0.9667258207630879,0.0026619343389529724,0.00044365572315882877,0.001774622892635315,0.995119787045253,5935016,83243,11.32951932022334
26,2396013.0,2018/2019,School Level,,CATHOLIC INDEPENDENT SCHOOLS OF NELSON DIOCESE (IATHNBR:115),Immaculata Regional High School,All Facility Types,LANGUAGE ARTS,ENGLISH 12,EN_12_C,12,All Students,Required,Exam Marks,39,74.4,2900,38,97,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,49.86037865,-119.4656809,0,POINT (-119.4656809 49.86037865),0.0017825311942959,0.9982174688057041,0.0,0.0,0.0,1.0,5935010,68627,11.136441322285153
